No.,Date,Time,Header,Data,Unit,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
1,2024/7/24,15:15:20,US,-0.007,g,,,,,
2,2024/7/24,15:15:21,US,-0.007,g,,,,,
3,2024/7/24,15:15:22,US,-0.006,g,,,,,
4,2024/7/24,15:15:22,US,0.023,g,,,,,
5,2024/7/24,15:15:24,US,0.023,g,,,,,
6,2024/7/24,15:15:25,US,0.023,g,,,,,
7,2024/7/24,15:15:26,US,0.023,g,,,,,
8,2024/7/24,15:15:27,ST,0.023,g,,,,,
9,2024/7/24,15:15:27,US,0.023,g,,,,,
10,2024/7/24,15:15:29,US,0.023,g,,,,,
11,2024/7/24,15:15:30,US,0.023,g,,,,,
12,2024/7/24,15:15:31,US,0.193,g,,,,,
13,2024/7/24,15:15:31,US,0.926,g,,,,,
14,2024/7/24,15:15:33,US,1.762,g,,,,,
15,2024/7/24,15:15:34,US,2.426,g,,,,,
16,2024/7/24,15:15:35,US,3.077,g,,,,,
17,2024/7/24,15:15:36,US,3.751,g,,,,,
18,2024/7/24,15:15:36,US,4.402,g,,,,,
19,2024/7/24,15:15:38,US,5.187,g,,,,,
20,2024/7/24,15:15:39,US,5.806,g,,,,,
21,2024/7/24,15:15:40,US,6.41,g,,,,,
22,2024/7/24,15:15:40,US,7.045,g,,,,,
23,2024/7/24,15:15:42,US,7.781,g,,,,,
24,2024/7/24,15:15:43,US,8.389,g,,,,,
25,2024/7/24,15:15:44,US,8.969,g,,,,,
26,2024/7/24,15:15:45,US,9.561,g,,,,,
27,2024/7/24,15:15:45,US,10.146,g,,,,,
28,2024/7/24,15:15:47,US,10.732,g,,,,,
29,2024/7/24,15:15:48,US,10.732,g,,,,,
30,2024/7/24,15:15:49,US,10.732,g,,,,,
31,2024/7/24,15:15:50,US,10.732,g,,,,,
32,2024/7/24,15:15:51,US,10.732,g,,,,,
33,2024/7/24,15:15:52,US,10.732,g,,,,,
34,2024/7/24,15:15:53,US,10.732,g,,,,,
35,2024/7/24,15:15:54,US,10.732,g,,,,,
36,2024/7/24,15:15:54,US,10.732,g,,,,,
37,2024/7/24,15:15:56,US,10.732,g,,,,,
38,2024/7/24,15:15:57,US,10.732,g,,,,,
39,2024/7/24,15:15:58,US,10.776,g,,,,,
40,2024/7/24,15:15:58,US,10.776,g,,,,,
41,2024/7/24,15:16:00,US,10.776,g,,,,,
42,2024/7/24,15:16:01,ST,10.776,g,,,,,
43,2024/7/24,15:16:02,US,10.776,g,,,,,
44,2024/7/24,15:16:03,US,10.776,g,,,,,
45,2024/7/24,15:16:04,US,10.776,g,,,,,
46,2024/7/24,15:16:05,US,10.808,g,,,,,
47,2024/7/24,15:16:06,US,10.815,g,,,,,
48,2024/7/24,15:16:07,US,10.815,g,,,,,
49,2024/7/24,15:16:07,US,10.834,g,,,,,
50,2024/7/24,15:16:09,US,10.834,g,,,,,
51,2024/7/24,15:16:10,US,10.834,g,,,,,
52,2024/7/24,15:16:11,US,10.834,g,,,,,
53,2024/7/24,15:16:12,US,10.846,g,,,,,
54,2024/7/24,15:16:12,US,10.846,g,,,,,
55,2024/7/24,15:16:14,US,10.863,g,,,,,
56,2024/7/24,15:16:15,US,10.863,g,,,,,
57,2024/7/24,15:16:16,US,10.863,g,,,,,
58,2024/7/24,15:16:17,US,10.863,g,,,,,
59,2024/7/24,15:16:18,US,10.888,g,,,,,
60,2024/7/24,15:16:19,ST,10.888,g,,,,,
61,2024/7/24,15:16:20,US,10.888,g,,,,,
62,2024/7/24,15:16:21,US,10.888,g,,,,,
63,2024/7/24,15:16:22,US,10.888,g,,,,,
64,2024/7/24,15:16:23,US,10.888,g,,,,,
